,obj_id,area[ha],ativo[ha],coda,mean[$/ha],ecoserv,prob_deforest,price[$]
5200,256029,1.07331,0.69764955,1,4274.9,0.5388090010000001,0.0,4588.2929189999995
5224,256851,2.02866,1.31863199,1,2780.1,0.594085634,0.0,5639.877665999999
10589,517807,2.03973,1.32582684,2,3268.5,0.569871902,0.0,6666.857505
10587,517411,3.12806,2.001823915,2,3475.7,0.562084695,0.0,10872.19814
6864,312179,4.51365,2.87302327,1,2454.5,0.502482375,0.0,11078.753929999999
5229,256697,4.6488,3.021717465,1,2461.9,0.527100015,0.0,11444.880720000001
5198,256369,4.71983,0.067890475,1,2447.1,0.533012509,0.7510040159999999,11549.89599
5228,256707,4.716069999999999,3.065439715,1,2513.7,0.47348788399999997,0.9236947790000001,11854.78516
6995,318953,3.93086,0.378867725,1,3327.7,0.52417849,0.0,13080.72282
7482,360615,4.49983,2.298637575,1,2994.7,0.5338297679999999,0.0,13475.6409
5741,279793,4.08156,2.363021375,1,3312.9,0.577135786,0.0,13521.800119999998
10583,517519,5.05754,3.25699387,2,2920.7,0.571655715,0.0,14771.55708
9114,425432,4.002269999999999,2.379782665,1,3927.1,0.502114673,0.0,15717.314519999998
5197,256357,4.700019999999999,3.055013195,1,3349.9,0.551694989,0.6345381529999999,15744.597
9113,425431,4.03921,2.379782665,1,3927.1,0.502114673,0.0,15862.38159
7101,322069,7.01549,2.56007006,1,2484.1,0.543691377,0.36144578299999996,17427.17871
7008,319079,4.72106,3.06868731,1,3853.1,0.541661465,0.0,18190.71629
4310,236027,7.447760000000001,3.494148905,1,2491.5,0.629714966,0.0,18556.09404
9185,434167,4.229080000000001,0.27017464,1,4536.1,0.39134845100000004,0.0,19183.52979
6820,308959,8.5373,5.00304909,1,2484.1,0.5576639179999999,0.0,21207.50693
4307,235821,8.970839999999999,2.657136615,1,2447.1,0.636463514,0.0,21952.542559999998
19240,986451,10.1715,6.42837871,2,2447.1,0.528484512,0.0,24890.67765
19228,986412,10.187000000000001,1.621533425,2,2535.9,0.551610225,0.0,25833.2133
5887,280907,6.20263,3.72354138,1,4208.3,0.533305728,0.0,26102.527830000003
8857,408334,11.4997,7.474806625,2,2447.1,0.5545830079999999,0.0,28140.915869999997
11073,544798,7.005319999999999,4.553458975,2,4028.6,0.45976007,0.0,28221.63215
11079,544902,7.0049600000000005,4.55322374,2,4175.0,0.44211740299999996,0.0,29245.708
6216,288251,12.0479,2.220096285,1,2447.1,0.499331521,0.0,29482.41609
7645,368287,7.066389999999999,4.354262185,1,4282.3,0.5216139639999999,0.959839357,30260.4019
7646,368288,7.06918,4.354262185,1,4282.3,0.5216139639999999,0.959839357,30272.349510000004
4338,236545,9.84239,6.397552915,1,3076.1,0.537981739,0.0,30276.175880000003
4420,240759,11.7726,7.61743359,1,2580.3,0.489953715,0.0,30376.839780000002
7700,370223,10.7774,6.82637306,1,2905.9,0.727671618,0.5742971889999999,31318.046660000004
5750,279113,12.6335,8.211772595,1,2491.5,0.520851865,0.0,31476.36525
1122,44055,4.00496,2.57809981,2,7945.1,0.556080237,0.0,31819.8077
6986,318941,13.1125,8.52312513,1,2476.7,0.553212196,0.7510040159999999,32475.72875
